company,title,location,job_url,site,source,age_posted,age_days,requires_sponsorship,requires_citizenship,is_closed,is_faang,requires_advanced_degree,job_type,description,date_posted,collected_at
🔥 Ramp,Software Engineer - Frontend,"New York, NY",https://jobs.ashbyhq.com/ramp/a1229aec-1105-4c47-8533-b912e732ed89?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Ramp. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010920
🔥 ByteDance,Backend Software Engineer (Customer Service Platform) - 2026 Start (BS/MS),"Seattle, WA",https://jobs.bytedance.com/en/position/7527836662400026898/detail?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 ByteDance. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010937
🔥 TikTok,"Software Engineer, Short Video - 2026 Start (BS/MS)","Los Angeles, CA",https://lifeattiktok.com/search/7532629935644002578?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010968
JPMorganChase,Software Engineer,"10 locationsWilmington, DEAustin, TXChicago, ILColumbus, OHHouston, TXJersey City, NJNew York, NYPalo Alto, CAPlano, TXTampa, FL",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210649942?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,False,False,False,False,False,fulltime,New graduate position at JPMorganChase. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.011096
🔥 TikTok,New Grad 2026: Software Engineer/Mobile Engineer Graduate (Monetization Technology - Ads Core Demonstration),"San Jose, CA",https://lifeattiktok.com/search/7532436539684702471?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011134
🔥 Ramp,University Grad - Software Engineer - Frontend,NYC,https://jobs.ashbyhq.com/ramp/a1229aec-1105-4c47-8533-b912e732ed89/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Ramp. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011154
🔥 Palantir,Software Engineer – New Grad - Production Infrastructure,"London, UK",https://jobs.lever.co/palantir/3f4dd595-2f57-4b5f-a50a-8d3084641ef8/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Palantir. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011173
Supernova Technology,Junior Software Engineer - Multiple Teams,"Chicago, IL",https://jobs.lever.co/supernovacompanies/68e224c9-e125-4e3f-9acd-065c0fc94bba/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at Supernova Technology. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011235
Northslope Technologies,Forward Deployed Software Engineer – New Grad,"New York, NYLondon, UK",https://jobs.ashbyhq.com/northslope-technologies/7ccd126f-b127-4526-87f1-57408919c30a/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at Northslope Technologies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011255
TripAdvisor,Software Engineer I - Backend Focus - Viator,"London, UKOxford, UK",https://job-boards.greenhouse.io/tripadvisor/jobs/6903058?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at TripAdvisor. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011275
mthree,Junior Software Engineer,"4 locationsSalt Lake, UTHouston, TXDalla, TXNew York, NY",https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4406180006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at mthree. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011296
Wyetech,Software Engineer 1,"Annapolis Junction, MD",https://jobs.lever.co/wyetechllc/08805fb2-ec83-47ba-a4bb-a82e47805e94/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at Wyetech. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011316
EvenUp,Software Engineer – New Graduate,"San Francisco, CAToronto, ON",https://jobs.ashbyhq.com/evenup/213e42cf-903d-4578-b3b5-df187780920d/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at EvenUp. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011335
Citadel Securities,Software Engineer – University Graduate,"Miami, FLNew York, NY",https://www.citadelsecurities.com/careers/details/software-engineer-university-graduate-us/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at Citadel Securities. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011355
Candid Health,Forward Deployed Software Engineer New Grad,"San Francisco, CANew York, NYDenver, CO",https://jobs.ashbyhq.com/candidhealth/8d1922f8-e89d-433e-a21f-b724eabc003b/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,4mo,,True,False,False,False,False,fulltime,New graduate position at Candid Health. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011375
🔥 Palantir,Software Engineer – New Grad - Infrastructure,"New York, NY",https://jobs.lever.co/palantir/4abf26b4-795c-420a-bf22-1ab98db268b4/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,4mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Palantir. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011394
WebFX,Entry Level Software Engineer,"Harrisburg, PA",https://jobs.lever.co/webfx/7c15f9e7-6ca5-4188-887e-3b147485c58f/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,4mo,,True,False,False,False,False,fulltime,New graduate position at WebFX. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.011517
